candidate_id,full_name,email,phone,age,graduation_year,institute,degree,major,current_city,applied_role,current_title,career_path,total_experience,num_employers,company_type,company_size,skills,certifications,technical_assessment,aptitude_score,last_rating,kpi_met,awards,trainings_last_year,training_hours,recruitment_channel,last_job_change,currently_enrolled,overtime_history,current_ctc,expected_ctc,notice_period,recruiter_note,post_hire_score
CH-KGXWTI,Sarojini Thackeray,sarojini.thackeray312@yahoo.co.in,+91 7318673099,43,2016,Jaypee Institute of Information Technology,BE,STEM,Hyderabad,Mobile Engineer,Senior Mobile Developer,Junior Mobile Developer (2.0 yrs) -> Mobile Developer (2.9 yrs) -> Senior Mobile Developer (2.7 yrs) -> Sr. Mobile Developer (1.7 yrs),9.3,7,Pvt Ltd,100-500,"stats,angular,SwiftUI,c plus plus,TF/Keras,Java Script,Android,Mongo,git,React",TensorFlow Developer; NPTEL DSA (Elite); ISTQB Foundation,57,4.8,3/5,N,0,1,40,Sourcing,2,no_enrollment,No,INR 18.9 lakh,INR 22.7 lakh,60 days,Hiring manager flagged excellent system-design round.,60.0
CH-EFQDH0,Radha Mathur,radha.mathur974@hotmail.com,+91 8315215777,36,2018,  Vignan University ,B.Tech,STEM,Jaipur,Mobile Engineer,Mobile Developer II,Trainee Mobile Developer [44 mo] -> Mobile Developer [44 mo],7.3 years,5,,10/49,"django,version control,kotlin,Android,CPP,Cypress,Terraform",Azure Fundamentals,26,3.0,4/5,0,None,1,99,Referral,1,Part time course,No,"₹18,71,000",18.04L,2 months,,47.5
CH-5WWL34,Rati Kadam,rati.kadam693@yahoo.co.in,+91 8968906088,27,2021,Indian Institute of Technology Madras,B.Sc,No Major,Ranchi,Frontend Engineer,Junior Frontend Engineer,Associate Frontend Engineer [15 mo] → Frontend Engineer I [19 mo] → Junior Frontend Engineer [9 mo],3.6,4,Pvt Ltd,10/49,"TypeScript, graphql, SCSS, API design",PMP; AWS Certified Solutions Architect,34/100,3.7,5,N,None,3,14,Campus,1,no_enrollment,No,"₹7,77,000",INR 9.4 lakh,60 days,Communication in the panel round was unclear. Asked about relocation support.,42.0
CH-92KDOA,Yashaswi Thackeray,yashaswi.thackeray159@gmail.com,+91 8606702572,36,2023,BITS Pilani,B.E.,,Gurgaon,Product Analyst,Product Analyst I,Trainee [20 mo] → Product Analyst I [5 mo],2.1 years,1,,,power bi | google cloud platform | Structured Query Language | excel | tableau | python | stats | Linux,,41,3.9,Unsatisfactory,Yes,-,1,8,Campus,never,Full time course,No,"₹14,95,000","$20,204",60 days,Prefers product companies. Missed two sprint commitments last quarter.,37.8
CH-Q7QZYA,Shakumbhari Bhasin,shakumbhari.bhasin349@outlook.com,+91 9745473410,32,2016,Pandit Ravi Shankar Shukla University,Bachelor of Technology,STEM,Pune,Mobile Engineer,Mobile Developer Lead,Associate Mobile Developer (0.6 yrs) | Mobile Developer (4.5 yrs) | Mobile Developer (1.7 yrs) | Lead Mobile Developer (2.2 yrs),108 months,1,Pvt Ltd,10000+,android; redis; Java 8; Git; SwiftUI; Google Cloud; React.js; selenium,Google Professional Data Engineer,42.0 %,5.8,2/5,N,0,2,36,Walk-in,>4,no_enrollment,No,2770000,3449000,2 months,Prefers product companies.,49.1
CH-1EEI0H,Bhavya Chandrachud,bhavya.chandrachud348@rediffmail.com,+91 6179940800,38,2021,Devi Ahilya University of Indore,B.Sc,STEM,Gurugram,ML Engineer,ML Engineer,Trainee ML Engineer (2.7y) | ML Engineer I (1.7y) | ML Engineer (0.9y),5.2 yrs,1,Pvt Ltd,<10,"excel,HTML,docker,scikit-learn",Databricks Associate,33,,5,No,None,1,76,LinkedIn,1,no_enrollment,No,13.67L,16.0 LPA,30 days,,49.8
CH-R0JJLW,Ishan Parmar,ishan.parmar192@rediffmail.com,+91 7535666084,28,2020,IIT Delhi,Btech,STEM,Jaipur,Full Stack Engineer,Full Stack Developer,Trainee Full Stack Developer (2.6 yrs) > Full Stack Developer (2.5 yrs),5+ yrs,1,Pvt Ltd,1000-4999,CV (images) | Structured Query Language | containers (docker) | Flutter | API design | Node.js | react js | Java Script,,83.0 %,7.2,,0,-,1,13,Direct,4,no_enrollment,No,INR 12.1 lakh,16.48L,2 months,,61.5
CH-9EY4KG,Jagdish Purohit,jagdish.purohit981@hotmail.com,+91 8728297227,33,2023,Indian Institute of Technology Delhi,Bachelor of Technology,STEM,Bhubaneswar,Data Engineer,Associate Data Engineer,Intern (0.6 yrs) → Junior Data Engineer (1.8 yrs) → Data Engineer I (0.5 yrs),3.0,1,,,Spark; Selenium; Amazon Web Services; Kafka; Apache Airflow; Structured Query Language; PYTHON; computer vision,,49,6.2,1,N,-,1,32,Sourcing,,Full time course,Yes,9.9 LPA,"₹12,59,000",1 month,,61.4
CH-8Y18UH,Isha Bhatt,isha.bhatt462@rediffmail.com,+91 9573050718,42,2006,BHARATHIDASAN UNIVERSITY,B.Sc,STEM,Indore,Product Analyst,VP Product,"Associate Product Analyst (3.4 yrs) → Product Analyst I (3.1 yrs) → Associate Product Analyst (2.9 yrs) → Product Analyst (1.9 yrs) → Sr. Product Analyst (4.7 yrs) → Tech Lead (2.7 yrs) → Director, Product (1.0 yrs)",237 months,3,Pvt Ltd,10/49,tensorflow; natural language processing; golang; spark; experimentation; Python3; hypothesis testing; Structured Query Language; HDFS,,49,6.1,New joiner - not rated,Yes,None,1,13,Other,1,no_enrollment,No,45.8 LPA,INR 52.7 lakh,15 days,,41.0
CH-1CYBOY,Juli Parmar,juli.parmar507@hotmail.com,+91 9436973414,34,2015,RMD Engineering College,Master of Technology,STEM,Coimbatore,QA Automation Engineer,QA Engineer III,Intern (1.5y) > QA Engineer (3.7y) > QA Engineer (1.3y) > QA Engineer III (1.8y),8.3,9,Pvt Ltd,100-500,"Selenium,Python,ci-cd,Go,cypress,HTML,T-SQL",Azure Fundamentals,33,6.3/10,Needs Improvement,No,0,1,4,Job Portal,>4,no_enrollment,Yes,"$31,230",INR 28.1 lakh,45 days,,38.5
CH-61MLHQ,Hritik Som,hritik.som73@gmail.com,+91 6295265595,36,2024,Netaji Subhas University of Technology,B.Tech,STEM,Pune,Backend Engineer,Trainee Software Engineer,Intern [6 mo] | Trainee Software Engineer [17 mo] | Junior Software Engineer [4 mo],2.2 years,1,Pvt Ltd,10000+,psql; java; REST APIs; RN; python,Google Professional Data Engineer; NPTEL DSA (Elite),35/100,6.1,1,no,None,1,136,Campus,1,no_enrollment,No,7.73L,11.7 lpa,15 days,Shipped a feature used by 1M+ users. Led the migration of a legacy monolith to services. Asked about relocation support.,78.6
CH-UQZ0WX,Niladri Bishnoi,niladri.bishnoi305@rediffmail.com,+91 8168877031,45,2003,Indian Institute of Technology Hyderabad,BCA,STEM,Chennai,QA Automation Engineer,Head of Quality,"QA Engineer I (2.9 yrs) | Trainee QA Engineer (4.5 yrs) | QA Engineer (1.9 yrs) | QA Engineer III (1.1 yrs) | Sr. QA Engineer (5.6 yrs) | Head of Quality (1.9 yrs) | Director, Quality (4.6 yrs)",20+ years,8,Pvt Ltd,10000+,"vuejs,Cypress,T-SQL,PYTHON,Jenkins",,55,6.9,5,Y,0,1,3,Other,>4,no_enrollment,No,INR 61.1 lakh,63.3 LPA,15 days,,44.0
CH-SL97LM,Vikas Kannaujiya,vikas.kannaujiya354@yahoo.co.in,+91 8297734020,32,2016,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",B.E.,STEM,Visakhapatnam,Full Stack Engineer,Staff Full Stack Developer,Associate Full Stack Developer [9 mo] > Junior Full Stack Developer [12 mo] > Associate Full Stack Developer [7 mo] > Sr. Full Stack Developer [25 mo] > Senior Full Stack Developer [38 mo] > Staff Full Stack Developer [23 mo],9.3,1,Pvt Ltd,10000+,"Golang,rest api,git,Node.js,Java Script",AWS Certified Solutions Architect,53,5.4,5,Y,0,2,52,Sourcing,>4,Full time course,No,3655000,6063000,60 days,Reference check was lukewarm about teamwork. Enquired about ESOPs.,46.3
CH-CJSE25,Ambar Chandrachud,ambar.chandrachud770@outlook.com,+91 7547251124,31,2019,Shridhar University,B.Sc,STEM,Pune,Full Stack Engineer,Full Stack Developer,Associate Full Stack Developer [32 mo] → Full Stack Developer [13 mo],3+ yrs,1,,,"MySQL,stats,FastAPI,ReactJS,Dockerization,Java Script,REST APIs,C++,Express/Node",Azure Fundamentals,70,5.8,Meets Expectations,FALSE,None,3,43,Walk-in,,Full time course,No,9.6 LPA,"₹10,24,000",15 days,,73.2
CH-V8N4F2,Apoorva Dholakia,apoorva.dholakia570@hotmail.com,+91 6802118085,32,2015,Kannur University,BCA,No Major,Gurugram,QA Automation Engineer,Senior QA Engineer,Trainee (2.1 yrs) → QA Engineer (2.8 yrs) → Senior QA Engineer (1.0 yrs) → QA Engineer III (3.2 yrs),9.0 years,1,Pvt Ltd,<10,"selenium,Type Script,sql,React Native,airflow,ci-cd,Java 8,Cypress",,0.74,6.2,NA,yes,0,1,31,Referral,3,no_enrollment,No,1712000,22.65L,Available now,Led the migration of a legacy monolith to services. Strong ownership; drove a cross-team initiative.,50.6
CH-QNQESO,Soni Rathod,soni.rathod923@gmail.com,+91 7193416715,36,2011,"Birla Institute of Technology and Science, Pilani",Btech,,Madras,Backend Engineer,Software Engineer,Software Engineer I (8.7 yrs) → Software Engineer I (3.1 yrs) → Software Engineer II (2.0 yrs),13.8 years,1,Pvt Ltd,1000-4999,Java 8; Structured Query Language; REST APIs; airflow; angular,,55,8.0,3/5,Yes,0,1,6,Job Portal,1,no_enrollment,Yes,28.6 LPA,33.3 LPA,Serving notice - 45 days,Missed two sprint commitments last quarter. Plays in a local cricket league.,56.0
CH-7DAPHF,Sumukhi Thakkar,sumukhi.thakkar220@outlook.com,+91 8849532662,39,2018,ANNA UNIVERSITY,M.Sc,STEM,Visakhapatnam,Full Stack Engineer,Full Stack Developer,Associate Full Stack Developer (2.1y) > Full Stack Developer (4.3y),6.4,1,NGO,50-99,API design | SQL | Dockerization | React.js | git | numpy | javascript,ISTQB Foundation; Databricks Associate; CKA; PMP,78,10.0,3,0,0,1,22,Campus,1,no_enrollment,No,"₹19,02,000","₹28,48,000",30 days,Has a pre-planned vacation next month. Reference check was lukewarm about teamwork.,30.9
CH-54PCWW,Vanshika Bhaskar,vanshika.bhaskar682@hotmail.com,+91 9853866608,44,2025,INDIAN INSTITUTE OF TECHNOLOGY GUWAHATI,M.Sc,,Jaipur,QA Automation Engineer,Apprentice,Trainee [10 mo],Fresher,1,Early Stage Startup,<10,"PYTHON, ReactJS, cypress, Redis, selenium, java",Coursera ML Specialization,49,7.0/10,Exceeds Expectations,Y,-,1,58,Referral,,Part time course,Yes,6.1 LPA,728000,45 days,Interested in the Bengaluru office.,55.4
CH-YPLOAI,Ramprasad Deol,ramprasad.deol695@yahoo.co.in,+91 6952226341,28,2021,Indian Institute of Technology Delhi,B.E.,STEM,Chandigarh,Product Analyst,Trainee Product Analyst,Associate Product Analyst [24 mo] | Product Analyst I [16 mo] | Junior Product Analyst [9 mo],4+ yrs,1,,,hypothesis testing; Computer Vision; nlp; Python; tableau; kafka; power bi,Databricks Associate,47,5.2,Meets Expectations,0,0,1,15,LinkedIn,4,no_enrollment,No,1502000,"$20,143",1 month,,62.4
CH-ZVIQ6X,Rangnath Trivedi,rangnath.trivedi103@yahoo.co.in,+91 6178205819,45,2002,Amity University,B.E.,,Noida,Data Scientist,"Director, Data Science",Trainee (1.3y) > Senior Data Scientist (1.7y) > Senior Data Scientist (2.3y) > Staff Data Scientist (2.8y) > Data Science Manager (2.8y) > Manager - Data Science (2.3y) > Data Science Manager (6.5y) > Head of Data Science (3.2y),20+ years,6,,,"PANDAS, split testing, PowerBI, scikit-learn, tableau, google cloud platform, python, ci-cd, SQL, Statistics",,28,5.2,3,N,-,1,83,Job Portal,1,no_enrollment,Yes,"₹73,35,000",INR 75.4 lakh,60 days,Enquired about ESOPs.,28.9
CH-9GB9N7,Snigdha Scindia,snigdha.scindia147@hotmail.com,+91 7155352439,41,2018,"Maharishi Dayanand University, Rohtak",MCA,,Noida,QA Automation Engineer,Senior QA Engineer,Trainee QA Engineer (3.2y) | Associate QA Engineer (1.1y) | QA Engineer II (0.4y) | QA Engineer III (3.5y),8+ yrs,2,,,"flask,selenium,react js,flutter,Core Java,cypress.io,postgres,REST,CI/CD",,63.0 %,7.5,5,Yes,-,1,142,Job Portal,1,Full time course,No,23.8 LPA,"₹36,73,000",30 days,Open to weekend shifts. Led the migration of a legacy monolith to services.,61.0
CH-OWRHPR,Harihar Sardana,harihar.sardana941@outlook.com,+91 6519900565,37,2011,Jawaharlal Nehru Technological University Hyderabad,PhD,STEM,Madras,Product Analyst,Manager - Product,Product Analyst I (1.6y) > Associate Product Analyst (0.6y) > Trainee Product Analyst (2.1y) > Senior Product Analyst (4.5y) > Product Manager (5.5y),14+ yrs,1,Funded Startup,10/49,tableau | Kafka | TF/Keras | MySQL | Kubernetes,ISTQB Foundation; PMP,38,6.5,3.0,yes,None,2,77,Other,2,no_enrollment,No,36.1 LPA,"₹45,45,000",45 days,Mentored two junior engineers; strong communicator. Interested in the Bengaluru office.,50.6
CH-YQDIYM,Bhagvant Upadhyay,bhagvant.upadhyay44@outlook.com,+91 6348144650,29,2019,Indian Institute of Technology Bombay,B.E.,STEM,Jaipur,Data Scientist,Tech Lead,Intern [6 mo] → Intern [6 mo] → Apprentice [16 mo] → Data Scientist [3 mo] → Data Scientist [10 mo] → Tech Lead [24 mo] → Data Scientist Lead [9 mo],6.2 years,4,,10/49,aws; Computer Vision; PANDAS; experimentation; python,Scrum Master (CSM); Coursera ML Specialization; Azure Fundamentals,0.86,,NA,N,None,1,146,Direct,2,no_enrollment,No,21.0 LPA,INR 26.4 lakh,45 days,Prefers product companies.,22.3
CH-IJCUVR,Rumpa Saini,rumpa.saini416@gmail.com,+91 6355167386,37,2021,Utkal University,B.Tech,STEM,Hyderabad,Frontend Engineer,Frontend Engineer,Frontend Engineer I (1.0 yrs) | Trainee Frontend Engineer (1.2 yrs) | Frontend Engineer I (0.4 yrs) | Frontend Engineer (0.8 yrs),3.4,1,Public Sector,50-99,"HDFS, Java 8, ReactJS, GraphQL, CPP",,28,,1,No,0,1,70,Job Portal,2,no_enrollment,No,12.5 LPA,17.2 LPA,60 days,Shipped a feature used by 1M+ users. Prefers product companies. Hiring manager flagged excellent system-design round.,56.3
CH-TNZAOZ,Kishore Bhawsar,kishore.bhawsar985@hotmail.com,+91 8256556955,48,2002,National Institute of Technology Warangal,Master of Technology,Business Degree,Pune,Product Analyst,VP Product,"Product Analyst I (4.4y) -> Trainee Product Analyst (1.2y) -> Product Analyst (5.0y) -> Senior Product Analyst (4.1y) -> Sr. Product Analyst (4.3y) -> Director, Product (4.7y)",20+ years,3,,,"AB testing,tableau,python,Spark,SQL,stats",ISTQB Foundation; NPTEL DSA (Elite),0.34,2.9,3,N,None,1,78,Sourcing,>4,no_enrollment,No,INR 48.0 lakh,71.7 LPA,15 days,Needed frequent guidance during design discussions.,27.2
CH-DBD54J,Mahua Atrey,mahua.atrey326@hotmail.com,+91 9728518155,34,2013,SMK Fomra Institute of Technology,B.Tech,STEM,Chandigarh,Full Stack Engineer,Full Stack Developer Lead,Full Stack Developer I (2.4y) → Full Stack Developer (2.6y) → Lead Full Stack Developer (2.3y) → Full Stack Developer Lead (3.4y),10.7 years,2,Pvt Ltd,50-99,"NodeJS, ReactJS, JS, Structured Query Language, cpp, kotlin",,0.30,5.4,4,Yes,-,1,178,Job Portal,1,no_enrollment,Yes,"₹43,47,000",INR 66.6 lakh,45 days,Enquired about ESOPs.,59.5
CH-YF4W7V,Jatin Patwari,jatin.patwari154@gmail.com,+91 7121273644,40,2023,Ramaiah University of Applied Sciences,Btech,STEM,Nagpur,DevOps / SRE,Trainee DevOps Engineer,Associate DevOps Engineer [8 mo] | Trainee DevOps Engineer [25 mo],2.7 yrs,1,Public Sector,10/49,terraform; ci-cd; containers (docker); Unix/Linux; Golang,,72,7.4,5,N,0,1,56,Job Portal,>4,Full time course,No,9.77L,INR 14.5 lakh,15 days,,47.2
CH-0EHYN0,Nandini Goyal,nandini.goyal802@gmail.com,+91 7382424604,44,2005,IIT-D,Master of Technology,Humanities,Chennai,DevOps / SRE,DevOps Engineer,Junior DevOps Engineer (5.4 yrs) | Trainee DevOps Engineer (8.1 yrs) | DevOps Engineer (5.7 yrs),19.2 years,2,Funded Startup,100-500,"Bash/Linux, psql, Graph QL, Amazon Web Services, python 3, K8s, IaC (Terraform)",AWS Certified Solutions Architect,77,6.0,1/5,0,0,1,204,Direct,1,no_enrollment,No,5.24 Cr,INR 59.9 lakh,60 days,Enquired about ESOPs.,69.9
CH-G5D0ZR,Niladri Bishnoi ,niladribishnoi305@rediffmail.com,08168877031,45,2003,Indian Institute of Technology Hyderabad,BCA,STEM,Chennai,QA Automation Engineer,Head of Quality,"QA Engineer I (2.9 yrs) | Trainee QA Engineer (4.5 yrs) | QA Engineer (1.9 yrs) | QA Engineer III (1.1 yrs) | Sr. QA Engineer (5.6 yrs) | Head of Quality (1.9 yrs) | Director, Quality (4.6 yrs)",20+ years,8,Pvt Ltd,10000+,"T-SQL, Cypress, Jenkins, vuejs, PYTHON",,55,6.9,5,Y,0,1,3,Other,>4,no_enrollment,No,INR 61.1 lakh,63.3 LPA,15 days,,44.0
CH-XNG5T2,Ankur Kaul,ankur.kaul566@hotmail.com,+91 8203687216,33,2023,National Institute of Technology Warangal,Master of Technology,STEM,Gurugram,Backend Engineer,Software Engineer Intern,Intern [9 mo] -> Intern [15 mo] -> Trainee [8 mo],2+ yrs,1,NGO,10000+,microservice architecture; Java; Postgres; T-SQL,Scrum Master (CSM),32,3.4,3,N,None,1,94,Direct,1,Full time course,No,549000,"₹7,35,000",Immediate joiner,Prefers hybrid work. Shipped a feature used by 1M+ users.,74.5
CH-G990J0,Marutanjali Jalan,marutanjali.jalan320@rediffmail.com,+91 9339130125,37,2021,DTU,MBA,STEM,Mysuru,QA Automation Engineer,Junior QA Engineer,Apprentice (0.6y) -> Trainee (0.9y) -> Junior QA Engineer (3.3y),4.8,1,Pvt Ltd,100-500,"Selenium,AngularJS,ci-cd,graphql,swift,Cypress",,N/A,3.8,2,N,-,1,17,Job Portal,2,no_enrollment,Yes,9.17L,"₹20,08,000",1 month,Currently exploring 2-3 other offers.,51.4
